Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CAPC1608X90N,2,CL10B105KP8NNNC,
CN1,CONN-SMD_532610871,1,532610871,C293349
FB1,BEADC2012X105N,1,MMZ2012Y152BT000,
J2,AWHW210G0202TR,1,AWHW2-10G-0202-T-R,
"R3, R8",RESC1608X55N,2,10K,
"R4, R5, R6, R7",RESC1608X55N,4,1K,
"U1, U2",SOP50P490X110-10N,2,ADS1115IDGSR,
