Designator,Mid X,Mid Y,Rotation,Layer
C1,141.4,-95.45,0.0,top
C2,154.55,-96.25,0.0,top
CN1,156.455,-106.1,0.0,top
FB1,155.75,-101.75,180.0,top
J2,138.5,-107.0,180.0,top
R3,131.2,-95.25,0.0,top
R4,143.15,-100.1,270.0,top
R5,141.4,-100.1,90.0,top
R6,131.8,-100.15,270.0,top
R7,130.0,-100.15,270.0,top
R8,149.3,-99.55,180.0,top
U1,136.6,-95.9,0.0,top
U2,149.95,-95.9,0.0,top
